id,x coord,y coord,z coord
0,5119.79,705.699,396.9
1,5119.74,931.711,1061.74
2,5120,659.83,333.876
3,5119.99,615.151,636.022
4,5119.97,878.308,560.99
5,5119.12,432.736,866.039
6,5119.91,468.757,590.142
7,5119.99,1025.17,728.662
8,5119.82,877.35,778.101
9,5119.99,423.443,424.409
10,5119.91,78.2464,463.621
11,5119.95,432.736,866.039
12,5119.89,216.574,348.782
13,5119.77,677.967,361.521
14,5119.76,705.709,396.9
15,5119.93,860.209,252.465
16,5120,931.711,1061.74
17,5119.85,756.922,634.064
18,5119.54,705.7,396.9
19,5119.96,613.163,632.373
20,5119.86,164.515,626.4
21,5119.75,783.799,864.779
22,5119.71,1025.17,728.662
23,5119.87,432.736,866.039
24,5119.99,1077.91,299.527
25,5119.81,931.711,1061.74
26,5119.91,678.853,232.135
27,5119.83,678.853,232.136
28,5119.98,423.443,424.409
29,5119.98,613.163,632.373
30,5119.62,1051.35,590.858
31,5119.92,423.443,424.409
32,5120,250.237,202.08
33,5120,1029.55,901.051
34,5120,878.308,560.99
35,5119.89,656.082,329.935
36,5119.73,216.574,348.782
37,5120,620.604,688.426
38,5119.99,659.487,332.576
39,5119.97,1023.97,916.835
40,5119.98,903.598,153.044
41,5119.94,877.35,778.101
42,5119.99,336.941,525.508
43,5119.94,673.588,352.925
44,5119.91,216.574,348.782
45,5119.94,432.736,866.039
46,5119.89,676.294,358.443
47,5119.69,256.743,1113.92
48,5119.77,250.237,202.08
49,5119.74,987.728,413.123
50,5119.75,878.308,560.99
51,5119.94,675.836,357.713
52,5119.81,793.788,488.044
53,5119.72,860.209,252.465
54,5119.71,705.724,396.9
55,5119.74,878.308,560.99
56,5119.98,1038.17,160.21
57,5119.24,1152.48,429.068
58,5119.65,877.35,778.101
59,5119.82,678.852,232.055
60,5119.76,468.757,590.142
61,5119.87,432.736,866.039
62,5119.95,578.25,756.305
63,5119.42,860.209,252.465
64,5119.93,401.045,236.661
65,5119.98,1110.37,1196.32
66,5119.99,622.965,1042.49
67,5119.87,878.308,560.99
68,5119.67,987.728,413.123
69,5119.91,401.045,236.661
70,5119.78,432.736,866.039
71,5120,468.757,590.142
72,5119.97,987.728,413.123
73,5120,931.711,1061.74
74,5120,78.0501,831.641
75,5119.75,877.35,778.101
76,5119.71,613.163,632.373
77,5119.93,909.601,320.314
78,5119.78,164.515,626.4
79,5119.81,1152.48,429.068
80,5119.97,660.699,334.631
81,5119.96,909.6,320.308
82,5119.75,256.743,1113.92
83,5119.93,1257.47,591.761
84,5120,285.222,661.188
85,5119.98,777.021,1002.67
86,5119.87,783.799,864.779
87,5119.88,270.476,816.135
88,5119.81,216.574,348.782
89,5119.99,898,124.279
90,5119.99,491.769,1115.38
91,5119.78,432.736,866.039
92,5119.79,432.736,866.039
93,5119.81,216.574,348.782
94,5119.99,290.552,846.506
95,5119.99,777.021,1002.67
96,5119.98,931.711,1061.74
97,5119.99,659.805,333.787
98,5119.83,394.489,677.645
99,5120,1038.17,160.176
100,5119.97,491.77,1115.38
101,5119.88,931.711,1061.74
102,5119.99,256.743,1113.92
103,5120,777.021,1002.67
104,5119.87,1024.21,915.788
105,5119.99,423.443,424.409
106,5119.77,615.151,636.022
107,5119.67,777.021,1002.67
108,5119.97,878.308,560.99
109,5119.84,1025.17,728.663
110,5119.95,783.799,864.779
111,5119.86,705.694,396.9
112,5119.97,613.163,632.373
113,5119.98,432.736,866.039
114,5119.88,173.253,964.539
115,5119.97,656.032,329.578
116,5119.73,491.764,1115.38
117,5119.98,1051.35,590.858
118,5119.66,705.698,396.9
119,5119.84,777.021,1002.67
120,5119.95,793.787,488.032
121,5119.98,432.736,866.041
122,5120,432.736,866.039
123,5119.95,1051.35,590.858
124,5119.91,1190.33,1081.74
125,5120,285.676,820.104
126,5119.99,659.541,332.796
127,5119.93,659.48,332.55
128,5119.99,909.6,320.31
129,5119.86,656.083,329.937
130,5119.84,909.6,320.311
131,5119.99,256.743,1113.92
132,5119.89,401.045,236.661
133,5119.81,898,124.257
134,5119.99,1051.35,590.858
135,5119.63,256.743,1113.92
136,5119.84,783.799,864.779
137,5119.99,423.443,424.409
138,5119.85,423.443,424.409
139,5119.99,1025.17,728.664
140,5119.92,653.241,325.132
141,5119.34,1152.48,429.068
142,5119.6,216.574,348.782
143,5119.82,1039.46,159.863
144,5119.81,675.764,357.586
145,5119.78,173.253,964.554
146,5119.59,394.489,677.645
147,5120,656.082,329.926
148,5119.72,432.736,866.039
149,5119.99,1190.98,1081.72
150,5119.61,401.045,236.661
151,5119.67,705.692,396.9
152,5119.48,432.736,866.039
153,5119.79,674.005,353.688
154,5119.99,615.151,636.022
155,5120,423.443,424.409
156,5119.85,714.776,36.7616
157,5119.54,401.045,236.661
158,5119.99,860.209,252.465
159,5119.85,432.736,866.039
160,5119.62,1051.66,74.5781
161,5119.77,860.209,252.465
162,5119.96,164.515,626.4
163,5119.6,401.045,236.661
164,5119.82,931.711,1061.74
165,5119.72,1243.76,720.603
166,5119.89,250.237,202.08
167,5119.89,931.711,1061.74
168,5119.98,256.743,1113.92
169,5119.95,931.711,1061.74
170,5119.99,777.021,1002.67
171,5119.63,401.045,236.661
172,5119.76,931.711,1061.74
173,5119.99,171.751,966.755
174,5119.99,615.151,636.022
175,5119.22,432.736,866.039
176,5119.99,1051.35,590.858
177,5119.76,256.743,1113.92
178,5119.84,698.747,826.636
179,5119.73,216.574,348.782
180,5119.8,285.631,820.101
181,5120,931.711,1061.74
182,5119.76,394.489,677.645
183,5120,336.942,526.136
184,5119.75,285.676,820.104
185,5119.77,931.711,1061.74
186,5119.63,401.045,236.661
187,5119.99,648.916,1049.86
188,5119.99,568.505,759.519
189,5119.98,878.308,560.99
190,5120,216.574,348.782
191,5119.62,164.516,626.408
192,5119.51,432.736,866.039
193,5119.82,931.711,1061.74
194,5119.89,1030.77,899.401
195,5119.95,705.701,396.9
196,5119.98,613.163,632.373
197,5119.95,336.932,529.067
198,5119.98,676.274,358.413
199,5119.67,468.757,590.142
200,5119.77,656.083,329.936
201,5120,1024.6,913.66
202,5119.73,1040.46,153.758
203,5119.83,401.045,236.661
204,5119.81,613.163,632.373
205,5119.7,468.757,590.142
206,5119.98,615.151,636.022
207,5119.36,432.736,866.039
208,5119.88,287.954,827.378
209,5119.7,1152.48,429.068
210,5119.74,777.021,1002.67
211,5119.93,678.853,232.145
212,5119.4,705.696,396.9
213,5120,252.962,811.503
214,5119.87,256.743,1113.92
215,5119.78,615.151,636.022
216,5119.93,264.022,814.489
217,5119.99,216.574,348.782
218,5119.97,162.783,1009.03
219,5119.97,674.333,354.235
220,5119.55,401.045,236.661
221,5119.61,394.489,677.645
222,5119.67,615.151,636.022
223,5119.99,783.799,864.779
224,5119.99,216.574,348.782
225,5119.92,491.769,1115.38
226,5119.59,705.851,396.9
227,5119.99,1051.35,590.858
228,5119.88,662.447,335.152
229,5119.95,432.736,866.039
230,5119.76,659.529,332.747
231,5119.9,827.522,709.167
232,5119.9,878.308,560.99
233,5119.77,656.083,329.938
234,5119.84,931.711,1061.74
235,5119.99,1190.2,1081.74
236,5119.6,756.922,634.064
237,5119.83,705.697,396.9
238,5119.57,754.037,1171.52
239,5120,909.599,320.306
240,5119.67,1190.19,1081.74
241,5119.75,285.185,661.2
242,5119.83,754.037,1171.52
243,5119.86,705.698,396.9
244,5120,573.162,758.029
245,5119.78,714.776,36.7616
246,5119.95,432.736,866.039
247,5119.76,878.308,560.99
248,5119.92,216.574,348.782
249,5119.79,171.806,966.374
250,5119.91,754.037,1171.52
251,5119.9,432.736,866.039
252,5119.91,1190.19,1081.74
253,5119.57,756.922,634.064
254,5119.41,432.736,866.039
255,5119.71,256.743,1113.92
256,5119.72,401.045,236.661
257,5119.63,256.743,1113.92
258,5119.95,878.308,560.99
259,5119.78,1152.48,429.068
260,5119.58,777.021,1002.67
261,5119.94,432.736,866.039
262,5119.71,216.574,348.782
263,5119.89,423.443,424.409
264,5119.88,78.2374,463.621
265,5119.66,256.743,1113.92
266,5119.86,659.659,333.254
267,5119.83,256.743,1113.92
268,5119.17,432.736,866.039
269,5119.8,468.757,590.142
270,5119.86,293.765,658.197
271,5119.74,756.922,634.064
272,5119.99,256.743,1113.92
273,5119.67,256.743,1113.92
274,5119.84,1038.17,160.765
275,5119.7,878.308,560.99
276,5119.94,423.443,424.409
277,5119.99,1039.28,159.946
278,5119.28,432.736,866.039
279,5119.84,401.045,236.661
280,5119.71,931.711,1061.74
281,5119.76,1025.17,728.662
282,5119.81,394.489,677.645
283,5119.9,931.711,1061.74
284,5119.83,432.736,866.039
285,5119.79,674.96,355.733
286,5119.89,878.308,560.99
287,5119.74,659.43,332.337
288,5119.99,675.803,357.656
289,5119.86,1243.76,720.641
290,5119.77,250.237,202.08
291,5120,613.163,632.373
292,5119.79,432.736,866.039
293,5119.92,432.736,866.039
294,5120,468.757,590.142
295,5119.97,714.776,36.7616
296,5119.94,909.6,320.309
297,5119.99,239.299,809.554
298,5120,931.711,1061.74
299,5120,678.853,232.136
300,5119.98,256.743,1113.92
301,5119.94,423.443,424.409
302,5119.81,252.081,811.322
303,5119.98,432.736,866.039
304,5119.83,1034.34,893.89
305,5119.67,128.723,212.912
306,5119.99,468.757,590.142
307,5119.69,860.209,252.465
308,5119.99,432.736,866.039
309,5119.79,656.083,329.936
310,5119.96,678.853,232.136
311,5119.82,860.209,252.465
312,5119.95,656.054,329.709
313,5119.36,164.515,626.4
314,5119.99,793.786,488.041
315,5119.1,432.736,866.039
316,5119.91,423.443,424.409
317,5119.87,432.736,866.039
318,5119.89,423.443,424.409
319,5119.97,705.691,396.9
320,5119.79,250.237,202.08
321,5119.96,336.942,527.283
322,5119.99,577.524,756.495
323,5119.97,285.69,820.113
324,5119.86,987.728,413.123
325,5119.94,216.574,348.782
326,5119.83,394.489,677.644
327,5119.87,931.711,1061.74
328,5119.64,777.021,1002.67
329,5119.85,1039.32,886.203
330,5119.89,78.0436,831.638
331,5119.98,432.736,866.039
332,5119.86,571.472,877.026
333,5119.89,571.472,876.981
334,5119.97,613.163,632.373
335,5119.71,491.771,1115.38
336,5119.97,613.163,632.373
337,5120,1024.77,914.761
