id,x coord,y coord,z coord
0,5119.79,705.714,396.9
1,5119.74,931.711,1061.74
2,5120,662.765,336.015
3,5119.99,615.151,636.022
4,5119.97,878.308,560.99
5,5119.12,432.736,866.039
6,5119.91,468.757,590.142
7,5119.99,1025.17,728.664
8,5119.82,877.35,778.101
9,5119.99,423.443,424.409
10,5119.91,78.3407,463.621
11,5119.95,432.736,866.039
12,5119.89,216.574,348.784
13,5119.77,682.143,369.949
14,5119.76,705.748,396.9
15,5119.93,860.209,252.465
16,5120,931.711,1061.74
17,5119.85,756.923,634.064
18,5119.54,705.717,396.9
19,5119.96,613.163,632.363
20,5119.86,164.515,626.4
21,5119.75,783.799,864.779
22,5119.71,1025.17,728.662
23,5119.87,432.736,866.039
24,5119.99,1077.91,299.543
25,5119.81,931.711,1061.74
26,5119.91,678.853,232.123
27,5119.83,678.853,232.125
28,5119.98,423.443,424.409
29,5119.98,613.163,632.373
30,5119.62,1051.35,590.858
31,5119.92,423.443,424.409
32,5120,250.237,202.08
33,5120,1031.15,898.523
34,5120,878.308,560.99
35,5119.89,656.081,329.92
36,5119.73,216.574,348.782
37,5120,622.054,747.761
38,5119.99,662.537,335.422
39,5119.97,1024.2,915.807
40,5119.98,900.89,171.965
41,5119.94,877.35,778.101
42,5119.99,336.937,524.699
43,5119.94,677.945,361.457
44,5119.91,216.574,348.782
45,5119.94,432.736,866.039
46,5119.89,680.358,367.601
47,5119.69,256.743,1113.92
48,5119.77,250.237,202.08
49,5119.74,987.728,413.123
50,5119.75,878.308,560.992
51,5119.94,680.07,367.002
52,5119.81,793.793,488.044
53,5119.72,860.209,252.465
54,5119.71,705.802,396.9
55,5119.74,878.308,560.99
56,5119.98,1038.17,160.623
57,5119.24,1152.48,429.068
58,5119.65,877.35,778.101
59,5119.82,678.84,231.86
60,5119.76,468.757,590.142
61,5119.87,432.736,866.039
62,5119.95,573.113,758.038
63,5119.42,860.207,252.462
64,5119.93,401.045,236.661
65,5119.98,1110.36,1196.32
66,5119.99,622.961,1042.48
67,5119.87,878.308,560.99
68,5119.67,987.728,413.123
69,5119.91,401.046,236.661
70,5119.78,432.736,866.039
71,5120,468.757,590.142
72,5119.97,987.728,413.123
73,5120,931.711,1061.74
74,5120,78.1099,831.671
75,5119.75,877.35,778.1
76,5119.71,613.163,632.373
77,5119.93,909.608,320.347
78,5119.78,164.515,626.4
79,5119.81,1152.48,429.068
80,5119.97,663.345,337.226
81,5119.96,909.602,320.319
82,5119.75,256.743,1113.92
83,5119.93,1257.47,591.827
84,5120,285.249,661.188
85,5119.98,777.021,1002.67
86,5119.87,783.799,864.779
87,5119.88,261.649,813.879
88,5119.81,216.574,348.782
89,5119.99,898.139,124.531
90,5119.99,491.77,1115.38
91,5119.78,432.736,866.039
92,5119.79,432.736,866.039
93,5119.81,216.574,348.782
94,5119.99,291.434,867.004
95,5119.99,777.021,1002.67
96,5119.98,931.711,1061.74
97,5119.99,662.749,335.976
98,5119.83,394.489,677.64
99,5120,1038.17,160.545
100,5119.97,491.779,1115.38
101,5119.88,931.711,1061.74
102,5119.99,256.743,1113.92
103,5120,777.021,1002.67
104,5119.87,1024.78,914.717
105,5119.99,423.443,424.409
106,5119.77,615.151,636.022
107,5119.67,777.021,1002.67
108,5119.97,878.308,560.99
109,5119.84,1025.17,728.667
110,5119.95,783.799,864.779
111,5119.86,705.698,396.9
112,5119.97,613.163,632.373
113,5119.98,432.736,866.039
114,5119.88,173.585,961.655
115,5119.97,655.496,327.384
116,5119.73,491.741,1115.38
117,5119.98,1051.35,590.858
118,5119.66,705.713,396.9
119,5119.84,777.021,1002.67
120,5119.95,793.789,488.003
121,5119.98,432.991,867.94
122,5120,432.736,866.039
123,5119.95,1051.35,590.858
124,5119.91,1193.63,1080.97
125,5120,285.677,820.105
126,5119.99,662.573,335.524
127,5119.93,662.532,335.41
128,5119.99,909.604,320.327
129,5119.86,656.083,329.936
130,5119.84,909.605,320.331
131,5119.99,256.743,1113.92
132,5119.89,401.045,236.661
133,5119.81,898,124.262
134,5119.99,1051.35,590.858
135,5119.63,256.743,1113.92
136,5119.84,783.799,864.779
137,5119.99,423.443,424.409
138,5119.85,423.443,424.409
139,5119.99,1025.17,728.672
140,5119.92,648.327,319.014
141,5119.34,1152.48,429.068
142,5119.6,216.574,348.782
143,5119.82,1039.46,159.885
144,5119.81,680.025,366.897
145,5119.78,173.577,961.679
146,5119.59,394.489,677.645
147,5120,656.074,329.852
148,5119.72,432.736,866.039
149,5119.99,1196.25,1079.83
150,5119.61,401.045,236.661
151,5119.67,705.69,396.9
152,5119.48,432.736,866.039
153,5119.79,678.201,362.167
154,5119.99,615.151,636.022
155,5120,423.443,424.409
156,5119.85,714.779,36.7637
157,5119.54,401.045,236.661
158,5119.99,860.209,252.465
159,5119.85,432.736,866.039
160,5119.62,1051.66,74.5773
161,5119.77,860.209,252.465
162,5119.96,164.515,626.4
163,5119.6,401.045,236.661
164,5119.82,931.711,1061.74
165,5119.72,1243.76,720.6
166,5119.89,250.237,202.08
167,5119.89,931.711,1061.74
168,5119.98,256.743,1113.92
169,5119.95,931.711,1061.74
170,5119.99,777.021,1002.67
171,5119.63,401.045,236.661
172,5119.76,931.711,1061.74
173,5119.99,172.821,965.181
174,5119.99,615.151,636.022
175,5119.22,432.736,866.039
176,5119.99,1051.35,590.858
177,5119.76,256.743,1113.92
178,5119.84,698.747,826.636
179,5119.73,216.574,348.782
180,5119.8,285.408,820.068
181,5120,931.711,1061.74
182,5119.76,394.489,677.645
183,5120,336.941,525.652
184,5119.75,285.677,820.104
185,5119.77,931.711,1061.74
186,5119.63,401.045,236.661
187,5119.99,659.711,1049.27
188,5119.99,564.735,760.914
189,5119.98,878.308,560.99
190,5120,216.574,348.782
191,5119.62,165.228,628.614
192,5119.51,432.736,866.039
193,5119.82,931.711,1061.74
194,5119.89,1032.76,896.244
195,5119.95,705.723,396.9
196,5119.98,613.163,632.373
197,5119.95,336.811,530.066
198,5119.98,680.345,367.576
199,5119.67,468.757,590.142
200,5119.77,656.082,329.928
201,5120,1023.85,912.076
202,5119.73,1040.46,153.504
203,5119.83,401.045,236.661
204,5119.81,613.163,632.373
205,5119.7,468.757,590.142
206,5119.98,615.151,636.022
207,5119.36,432.736,866.039
208,5119.88,291.214,854.91
209,5119.7,1152.48,429.068
210,5119.74,777.021,1002.67
211,5119.93,678.853,232.154
212,5119.4,705.705,396.9
213,5120,247.427,810.384
214,5119.87,256.743,1113.92
215,5119.78,615.151,636.022
216,5119.93,257.005,812.572
217,5119.99,216.574,348.782
218,5119.97,162.783,1009.27
219,5119.97,678.403,362.663
220,5119.55,401.045,236.661
221,5119.61,394.489,677.645
222,5119.67,615.151,636.023
223,5119.99,783.799,864.779
224,5119.99,216.574,348.782
225,5119.92,491.769,1115.38
226,5119.59,706.235,396.904
227,5119.99,1051.35,590.858
228,5119.88,665.116,339.864
229,5119.95,432.736,866.04
230,5119.76,662.565,335.502
231,5119.9,827.522,709.07
232,5119.9,878.308,560.99
233,5119.77,656.083,329.937
234,5119.84,931.711,1061.74
235,5119.99,1190.45,1081.74
236,5119.6,756.922,634.064
237,5119.83,705.707,396.9
238,5119.57,754.037,1171.52
239,5120,909.599,320.306
240,5119.67,1190.19,1081.74
241,5119.75,285.141,661.303
242,5119.83,754.037,1171.52
243,5119.86,705.711,396.9
244,5120,568.749,759.494
245,5119.78,714.776,36.7616
246,5119.95,432.736,866.039
247,5119.76,878.308,560.99
248,5119.92,216.574,348.782
249,5119.79,173.252,964.603
250,5119.91,754.037,1171.52
251,5119.9,432.736,866.039
252,5119.91,1190.19,1081.74
253,5119.57,756.922,634.064
254,5119.41,432.736,866.039
255,5119.71,256.743,1113.92
256,5119.72,401.045,236.661
257,5119.63,256.743,1113.92
258,5119.95,878.308,560.99
259,5119.78,1152.48,429.068
260,5119.58,777.021,1002.67
261,5119.94,432.736,866.039
262,5119.71,216.574,348.782
263,5119.89,423.443,424.409
264,5119.88,78.2566,463.621
265,5119.66,256.743,1113.92
266,5119.86,662.652,335.735
267,5119.83,256.743,1113.92
268,5119.17,432.736,866.039
269,5119.8,468.757,590.142
270,5119.86,300.714,654.856
271,5119.74,756.922,634.064
272,5119.99,256.743,1113.92
273,5119.67,256.743,1113.92
274,5119.84,1038.1,161.89
275,5119.7,878.308,560.99
276,5119.94,423.443,424.409
277,5119.99,1038.17,160.032
278,5119.28,432.736,866.039
279,5119.84,401.045,236.661
280,5119.71,931.711,1061.74
281,5119.76,1025.17,728.661
282,5119.81,394.489,677.645
283,5119.9,931.711,1061.74
284,5119.83,432.736,866.039
285,5119.79,679.047,363.979
286,5119.89,878.308,560.99
287,5119.74,662.498,335.309
288,5119.99,680.049,366.955
289,5119.86,1243.74,720.865
290,5119.77,250.237,202.08
291,5120,613.163,632.373
292,5119.79,432.736,866.039
293,5119.92,432.736,866.039
294,5120,468.757,590.142
295,5119.97,714.776,36.7617
296,5119.94,909.603,320.324
297,5119.99,233.133,810.547
298,5120,931.711,1061.74
299,5120,678.853,232.126
300,5119.98,256.743,1113.92
301,5119.94,423.443,424.409
302,5119.81,246.625,810.253
303,5119.98,432.736,866.039
304,5119.83,1037.94,888.696
305,5119.67,128.723,212.941
306,5119.99,468.757,590.142
307,5119.69,860.209,252.465
308,5119.99,432.736,866.039
309,5119.79,656.082,329.924
310,5119.96,678.853,232.124
311,5119.82,860.209,252.465
312,5119.95,655.751,328.316
313,5119.36,164.515,626.4
314,5119.99,793.781,488.034
315,5119.1,432.736,866.039
316,5119.91,423.443,424.409
317,5119.87,432.736,866.039
318,5119.89,423.443,424.409
319,5119.97,705.687,396.9
320,5119.79,250.237,202.08
321,5119.96,336.942,527.381
322,5119.99,572.581,758.162
323,5119.97,285.756,820.187
324,5119.86,987.728,413.123
325,5119.94,216.574,348.782
326,5119.83,394.489,677.639
327,5119.87,931.711,1061.74
328,5119.64,777.021,1002.67
329,5119.85,1043.36,880.76
330,5119.89,78.0846,831.652
331,5119.98,432.736,866.039
332,5119.86,571.472,877.028
333,5119.89,571.478,876.775
334,5119.97,613.163,632.373
335,5119.71,491.783,1115.38
336,5119.97,613.163,632.373
337,5120,1024.55,913.481
338,5119.83,898,124.265
339,5119.83,877.35,778.101
340,5120,656.247,329.944
341,5119.73,931.711,1061.74
342,5119.76,877.302,777.166
343,5119.86,165.074,994.504
344,5120,931.711,1061.74
345,5119.99,216.574,348.782
346,5119.05,432.736,866.039
347,5119.96,432.736,866.039
348,5119.91,256.743,1113.92
349,5119.98,878.308,560.99
350,5119.97,931.711,1061.74
351,5119.87,664.127,338.558
352,5119.99,216.574,348.782
353,5119.93,1024.58,913.588
354,5119.71,931.711,1061.74
